                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3813,                 1.7897,                  1.231,                 1.2785,                0.51977,                0.51112,                0.48004,                0.28396,                 0.4921,                0.50904,                0.48566,                0.27602,                 1.9686,                 2.5905,                 1.7565,                 1.7889,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.4015,                 1.7977,                 1.2634,                 1.2881,                0.50239,                0.47344,                0.49636,                0.29312,                0.48817,                0.47972,                0.49805,                0.29392,                 1.9647,                 2.5671,                 1.7287,                 1.7745,             0.00024747,             0.00024747,             0.00024747
                     68,                  1.387,                  1.817,                 1.2242,                 1.2931,                0.48905,                0.53007,                0.51935,                0.30896,                0.53873,                0.51424,                0.53032,                0.30363,                 1.9278,                 2.6221,                 1.6825,                 1.7261,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.3555,                 1.7714,                 1.2058,                 1.2736,                0.52798,                0.46557,                 0.4324,                0.25414,                0.56455,                0.47917,                0.45868,                0.25304,                 1.8937,                 2.6008,                 1.8188,                 1.7296,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.3587,                 1.7353,                 1.1989,                 1.2646,                0.61605,                0.52773,                0.56005,                0.33662,                0.60371,                0.53848,                0.57553,                0.33427,                 1.9212,                 2.5793,                 1.7206,                 1.7501,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.3483,                 1.7614,                 1.1784,                 1.2613,                0.51431,                0.47825,                0.50143,                0.28397,                0.60586,                0.42843,                0.51822,                 0.2802,                 2.0167,                 2.6553,                 1.6905,                 1.8778,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.3392,                 1.7427,                 1.1671,                 1.2501,                0.46921,                 0.5204,                0.48456,                0.29917,                0.47698,                0.53398,                0.48966,                0.28968,                 1.9616,                 2.5537,                 1.6895,                 1.8068,             0.00021213,             0.00021213,             0.00021213
                     73,                  1.336,                 1.7532,                 1.1452,                 1.2426,                0.57759,                0.47143,                0.50902,                0.28239,                0.55905,                0.46112,                0.47883,                0.25552,                   1.98,                 2.6413,                 1.6813,                 1.8332,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.3262,                 1.7258,                 1.1349,                 1.2445,                0.50192,                0.56347,                0.53836,                0.30701,                0.51322,                0.57261,                0.54341,                0.28482,                 1.9795,                 2.6738,                 1.6083,                 1.8439,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.3096,                 1.7155,                  1.103,                 1.2402,                0.49219,                0.60891,                0.55329,                0.30955,                0.49675,                0.60381,                0.53479,                0.29672,                  1.981,                 2.6693,                 1.6109,                 1.8454,             0.00019092,             0.00019092,             0.00019092
                     76,                  1.305,                 1.6903,                 1.1172,                 1.2401,                0.55523,                0.56618,                0.54677,                0.32638,                0.54467,                0.57046,                0.54552,                0.31079,                 1.9995,                 2.6981,                 1.6292,                 1.8673,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.2879,                 1.6848,                 1.0901,                 1.2333,                0.51989,                0.48739,                0.52738,                0.29593,                0.50131,                0.51165,                0.51391,                0.28709,                 2.0186,                  2.624,                 1.6241,                 1.8988,             0.00017679,             0.00017679,             0.00017679
                     78,                  1.277,                 1.6747,                 1.0774,                 1.2139,                0.53343,                0.54812,                0.54974,                0.30571,                0.49606,                 0.5201,                0.51123,                0.29408,                 2.0024,                 2.7184,                 1.7476,                 1.8663,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.2757,                 1.6635,                 1.0524,                 1.2157,                  0.538,                0.52889,                0.55434,                0.32094,                0.52381,                0.52292,                 0.5405,                0.30022,                 1.9584,                 2.6532,                 1.6724,                 1.8094,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.2633,                 1.6757,                 1.0558,                 1.2296,                0.63565,                0.53515,                0.55863,                0.30146,                0.63543,                0.51375,                0.55554,                0.29464,                 1.9889,                 2.7066,                 1.6302,                 1.8953,             0.00015558,             0.00015558,             0.00015558
